17.507: [GC [PSYoungGen: 52544K->64K(50624K)] 54282K->1802K(92928K), 0.0003770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.619: [GC [PSYoungGen: 50560K->64K(48640K)] 52298K->1802K(90944K), 0.0004590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.728: [GC [PSYoungGen: 48640K->64K(46912K)] 50378K->1802K(89216K), 0.0005870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.833: [GC [PSYoungGen: 46848K->32K(45120K)] 48586K->1770K(87424K), 0.0004610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.934: [GC [PSYoungGen: 45088K->64K(43520K)] 46826K->1802K(85824K), 0.0004100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.030: [GC [PSYoungGen: 43456K->96K(41984K)] 45194K->1834K(84288K), 0.0003490 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.124: [GC [PSYoungGen: 41952K->96K(40512K)] 43690K->1834K(82816K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.215: [GC [PSYoungGen: 40480K->64K(39040K)] 42218K->1810K(81344K), 0.0003630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
18.301: [GC [PSYoungGen: 39040K->64K(37760K)] 40786K->1818K(80064K), 0.0004120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.386: [GC [PSYoungGen: 37696K->64K(36416K)] 39450K->1818K(78720K), 0.0004300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.467: [GC [PSYoungGen: 36416K->96K(35264K)] 38170K->1850K(77568K), 0.0004070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.546: [GC [PSYoungGen: 35232K->64K(34048K)] 36986K->1818K(76352K), 0.0004610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.622: [GC [PSYoungGen: 34048K->64K(32960K)] 35802K->1818K(75264K), 0.0003950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.695: [GC [PSYoungGen: 32896K->32K(31808K)] 34650K->1786K(74112K), 0.0005260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.767: [GC [PSYoungGen: 31776K->96K(30848K)] 33530K->1850K(73152K), 0.0005590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.835: [GC [PSYoungGen: 30816K->32K(29824K)] 32570K->1786K(72128K), 0.0003880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.902: [GC [PSYoungGen: 29792K->64K(28928K)] 31546K->1818K(71232K), 0.0003700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.967: [GC [PSYoungGen: 28864K->96K(28032K)] 30618K->1850K(70336K), 0.0003840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.030: [GC [PSYoungGen: 28000K->64K(27136K)] 29754K->1818K(69440K), 0.0004560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.090: [GC [PSYoungGen: 27136K->64K(26304K)] 28890K->1818K(68608K), 0.0004630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.149: [GC [PSYoungGen: 26304K->0K(25600K)] 28058K->1754K(67904K), 0.0003730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.206: [GC [PSYoungGen: 25472K->64K(24768K)] 27226K->1818K(67072K), 0.0006050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.262: [GC [PSYoungGen: 24768K->64K(29824K)] 26522K->1818K(72128K), 0.0045640 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.333: [GC [PSYoungGen: 29760K->64K(35712K)] 31514K->1818K(78016K), 0.0004420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.413: [GC [PSYoungGen: 35712K->64K(42944K)] 37466K->1818K(85248K), 0.0004630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.508: [GC [PSYoungGen: 42880K->64K(51456K)] 44634K->1818K(93760K), 0.0004990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.623: [GC [PSYoungGen: 51456K->32K(49600K)] 53210K->1786K(91904K), 0.0003290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.733: [GC [PSYoungGen: 49504K->64K(47680K)] 51258K->1818K(89984K), 0.0005510 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.841: [GC [PSYoungGen: 47680K->64K(46016K)] 49434K->1818K(88320K), 0.0004050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.943: [GC [PSYoungGen: 45952K->32K(44288K)] 47706K->1786K(86592K), 0.0004830 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
20.042: [GC [PSYoungGen: 44256K->64K(42752K)] 46010K->1818K(85056K), 0.0004140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.137: [GC [PSYoungGen: 42688K->96K(41216K)] 44442K->1850K(83520K), 0.0005560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
