29.982: [GC [PSYoungGen: 13536K->32K(13312K)] 15273K->1769K(55616K), 0.0004960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.052: [GC [PSYoungGen: 13280K->32K(13056K)] 15017K->1769K(55360K), 0.0003850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.121: [GC [PSYoungGen: 13024K->32K(12800K)] 14761K->1769K(55104K), 0.0006150 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
30.189: [GC [PSYoungGen: 12768K->32K(12544K)] 14505K->1769K(54848K), 0.0005540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.255: [GC [PSYoungGen: 12512K->32K(12288K)] 14249K->1769K(54592K), 0.0004000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.320: [GC [PSYoungGen: 12256K->32K(12032K)] 13993K->1769K(54336K), 0.0005030 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.384: [GC [PSYoungGen: 12000K->32K(11776K)] 13737K->1769K(54080K), 0.0004450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.446: [GC [PSYoungGen: 11744K->32K(11584K)] 13481K->1769K(53888K), 0.0004040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.508: [GC [PSYoungGen: 11552K->32K(11392K)] 13289K->1769K(53696K), 0.0008220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.568: [GC [PSYoungGen: 11360K->32K(13696K)] 13097K->1769K(56000K), 0.0025520 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.643: [GC [PSYoungGen: 13664K->32K(16448K)] 15401K->1769K(58752K), 0.0003380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.729: [GC [PSYoungGen: 16416K->32K(19776K)] 18153K->1769K(62080K), 0.0003270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.834: [GC [PSYoungGen: 19744K->32K(19264K)] 21481K->1769K(61568K), 0.0004660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.936: [GC [PSYoungGen: 19232K->32K(18752K)] 20969K->1769K(61056K), 0.0005110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.035: [GC [PSYoungGen: 18720K->32K(18304K)] 20457K->1769K(60608K), 0.0004420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
